Institution,Lab Name,Supervisor,Website,City,Country,Latitude,Longitude
Princeton University, Houck Lab, Andrew Houck, https://houcklab.princeton.edu/, Princeton, USA, 40.350854881232166, -74.65044452698166
University of Colorado, Gyenis Lab,András Gyenis,https://www.colorado.edu/lab/gyenis/,Boulder,USA,40.00693398,-105.2628855
MIT, Engineering Quantum Systems (EQuS),William Oliver,https://equs.mit.edu/,Cambridge,USA,42.3601773,-71.093696
University of Wisconsin, McDermott Group,Robert McDermott,https://mcdermottgroup.physics.wisc.edu/,Madison,USA,43.07413471,-89.40497701
Yale University, Prober Lab,Daniel E. Prober,https://proberlab.yale.edu/contact,New Haven,USA,41.312774,-72.925136
Tata Institute of Fundamental Research, Quantum Measurement and Control Laboratory,R. Vijayaraghavan,https://www.tifr.res.in/~quantro/people.html,Mumbai,India,18.90664748,72.80506742
Université de Sherbrooke, Theory of Superconducting Quantum Devices, Alexandre Blais, https://circuitqedsherbrooke.ca/en/, Sherbrooke, Canada, 45.37837723614361, -71.92517258382911
University of Waterloo, Quantum Cavity Optomechanics Group, Bradley Hauer, https://uwaterloo.ca/institute-for-quantum-computing/research/groups/quantum-cavity-optomechanics-qcom-group, Waterloo, Canada, 43.47157674221355, -80.54518161833286
University of Waterloo, Laboratory for Digital Quantum Matter, Matteo Mariantoni, https://uwaterloo.ca/institute-for-quantum-computing/profiles/matteo-mariantoni, Waterloo, Canada, 43.47197674221355, -80.54518561833286
University of Wisconsin, Kuzmin Lab, Roman Kuzmin, https://kuzmin.physics.wisc.edu/, Madison, USA, 43.07433432075757, -89.40614275544397
Rutgers University, Superconducting Quantum Systems, Srivatsan Chakram, https://sites.rutgers.edu/chakram-lab/, New Brunswick, USA, 40.52278188092747, -74.46402302086987
Dartmouth College, Fitz Lab, Mattias Fitzpatrick, https://sites.google.com/view/fitzlab/home, Hanover, USA, 43.70436899538843, -72.294756262622
University of Colorado Boulder, McRae Group, Corey Rae McRae, https://www.colorado.edu/ecee/corey-rae-mcrae, Boulder, USA, 40.00711139450838, -105.26326814063742
Caltech, Mirhosseini Group, Mohammad Mirhosseini, https://qse.caltech.edu/qse-research-groups/mohammad-mirhosseini, Pasadena, USA, 34.1399757181944, -118.12394752583435
University of Texas Austin, Linran Fan Group – Quantum and Nonlinear Photonics, Linran Fan, https://sites.utexas.edu/lfan/, Austin, USA, 30.288265797327767, -97.73507272454664
University of Wisconsin, Volk Lab, Jennifer Volk, https://sites.google.com/view/jennifervolk/, Madison, USA, 43.07222561745648, -89.4099056245992
University College London, Ultra-Fast Photonics Group, James Seddon, https://profiles.ucl.ac.uk/45783-james-seddon, London, UK, 51.52214521935814, -0.13332485147652912
NIST Boulder, Advanced Microwave Photonics Group, Raymond Simmonds, https://www.nist.gov/pml/applied-physics-division/advanced-microwave-photonics, Boulder, USA, 39.99577524969852, -105.26169952135092
Lawrence Berkeley National Laboratory, Quantum Systems Accelerator, Bert de Jong, https://quantumsystemsaccelerator.org/, Berkeley, USA, 37.87600689438098, -122.249735346638
Fermi National Accelerator Laboratory, Superconducting Quantum Materials & Systems Center, Anna Grassellino, https://sqmscenter.fnal.gov/, Batavia, USA, 41.83591032600086, -88.26377943340222
University of California Santa Barbara, Palmstrøm Group, Chris Palmstrøm, https://palmstrom.cnsi.ucsb,edu, Santa Barbara, USA, 34.414308282021345, -119.84255334642795
University of California Riverside, Quantum Computing and Measurement Physics, Alexander Korotkov, https://intra.engr.ucr.edu/~korotkov/QCAMP/index.html, Riverside, USA, 33.97416085937886, -117.32509836094587
University of California Berkeley, Quantum Nanoelectronics Laboratory, Irfan Siddiqi, https://physics.berkeley.edu/research-faculty/quantum-nanoelectronics-laboratory, Berkeley, USA, 37.87290053252259, -122.25710999758057
University of Texas Austin, Quantum Circuits Group, Shyam Shankar, https://www.ece.utexas.edu/research/groups/quantum-circuits-group, Austin, USA, 30.386227228069142, -97.72812328669575
University of Massachusetts Amherst, Quantum RF Group, Joseph Bardin, http://rfic.ecs.umass.edu/index.html, Amherst, USA, 42.3940560499273, -72.5285301693089
ETH Zurich, Quantum Device Lab, Andreas Wallraff, https://qudev.phys.ethz.ch/, Zurich, Switzerland, 47.37659802631089, 8.549179006498756
TU Delft, DiCarlo Lab, Leonardo DiCarlo, https://qutech.nl/lab/dicarlo-lab-welcome/, Delft, Netherlands, 52.00222095867739, 4.37411840610502
RIKEN, Superconducting Quantum Circuits Research Team, Jaw-Shen Tsai, https://www.riken.jp/en/research/labs/rqc/superconduct_qtm_sim/index.html, Wako, Japan, 35.78102745914096, 139.61329414859847
Karlsruhe Institute of Technology, Working Group Superconducting Quantum Circuits, Alexey Ustinov, https://www.iqmt.kit.edu/english/1432.php, Karlsruhe, Germany, 49.01226040205355, 8.415505119757375
Forschungszentrum Jülich, Superconducting Quantum Computing in Jülich & Aachen, https://funqs.de/, Jülich, Germany, 50.90337911935046, 6.421506668226929
Institut Néel - CNRS Campus, Superconducting Quantum Circuits, Olivier Buisson, https://www.sqc.cnrs.fr/, Grenoble, France, 45.20355487807318, 5.700983100764469
IQM, IQM Lab, Jan Goetz, https://meetiqm.com/, Espoo, Finland, 60.17919989884675, 24.837112888336772
Aalto University, Quantum Computing and Devices, Mikko Möttönen, https://www.aalto.fi/en/people/mikko-mottonen, Espoo, Finland, 60.1861883909629, 24.827653682973832
IBM Quantum, IBM Quantum Yorktown Heights, Jay Gambetta, https://research.ibm.com/labs/yorktown-heights, Yorktown Heights, USA, 41.211087204967214, -73.80185178087021

